Joanna McGrenere,University of British Columbia,17-Mar-10,Acknowledgement_NI_JoannaMcGrenere
Jochen Lang,University of Ottawa,07-May-10,Acknowledgement_NI_JochenLang
John Robinson,University of British Columbia,10-Dec-10,Acknowledgement_NI_JohnRobinson
Jonathan Schaeffer,University of Alberta,17-Mar-10,Acknowledgement_NI_JonathanSchaeffer
Karan Singh,University of Toronto,20-May-10,Acknowledgement_NI_KaranSingh
Karon MacLean,University of British Columbia,12-Mar-10,Acknowledgement_NI_KaronMacLean
Kate Hennessy,Simon Fraser University,14-Apr-11,Acknowledgement_NI_KateHennessy
Kellogg Booth,University of British Columbia,19-Mar-10,Acknowledgement_NI_KelloggBooth
Kevin Stanley,University of Saskatchewan,21-May-10,Acknowledgement_NI_KevinStanley
Kim Sawchuk,Concordia University,14-Apr-11,Acknowledgement_NI_KimSawchuk
Kyros.Kutulakos,University of Toronto,17-May-10,Acknowledgement_NI_KiriakosKutulakos
Kirstie Hawkey,Dalhousie University,15-Apr-11,Acknowledgement_NI_KirstieHawkey
Konstantin Beznosov,University of British Columbia,30-Mar-10,Acknowledgement_NI_KonstantinBeznosov
Lisa Lynch,Concordia University,06-May-10,Acknowledgement_NI_LisaLynch
Luanne Freund,University of British Columbia,28-Apr-10,Acknowledgement_NI_LuanneFreund
Lyn Bartram,Simon Fraser University,15-Mar-10,Acknowledgement_NI_LynBartram
Lynn Hughes,Concordia University,29-Mar-10,Acknowledgement_NI_LynnHughes
Magy Seif El-Nasr,Simon Fraser University,03-Nov-10,Acknowledgement_NI_MagySeifEl-Nasr
Marek Hatala,Simon Fraser University,06-May-10,Acknowledgement_NI_MarekHatala
Maria Lantin,Emily Carr University,08-Nov-10,Acknowledgement_NI_MariaLantin
Mark Hancock,University of Waterloo,25-Apr-11,Acknowledgement_NI_MarkHancock
Martha Ladly,OCAD University,30-May-10,Acknowledgement_NI_MarthaLadly
Mary Cavanagh,University of Ottawa,20-Jun-11,Acknowledgement_NI_MaryCavanagh
Matt Stahl,University of Western Ontario,31-May-10,Acknowledgement_NI_MattStahl
Melanie Tory,University of Victoria,04-May-10,Acknowledgement_NI_MelanieTory
Michael Buro,University of Alberta,05-May-11,Acknowledgement_NI_MichaelBuro
Michael Terry,University of Waterloo,14-Mar-10,Acknowledgement_NI_MichaelTerry
